Category,Path,Role
Project root,index.php,"The single web entry. Every HTTP request lands here; it boots Kirby (the CMS) which then dispatches to a template / route / panel."
Project root,composer.json,"PHP dependency manifest. Lists Kirby version and any other Composer packages; tells the PHP autoloader where classes live."
Project root,VERSION,"App semver (e.g. 0.8.46). Read by site/config/config.php and used as ?v= cache-buster on every CSS/JS include so a bump invalidates browsers automatically. Bumped on every commit."
Project root,SCHEMA_VERSION,"On-disk content schema version (currently 1). Bumped only when the data shape changes incompatibly. Embedded in each snapshot's meta.json; Snapshots → Load refuses on mismatch."
Project root,NOTES.md,"Free-form working notes. Not consumed by any code."
Project root,.gitignore,"Tells git which paths not to track — runtime artifacts (site/cache, site/sessions, media, site/accounts), the local library/* snapshot store except .gitkeep, OS junk (.DS_Store, Thumbs.db)."
Project root,.git/,"Git's own working data (commit history, objects, refs). Hidden from most file listings; managed entirely by git."
assets/,assets/css/style.css,"Public-site stylesheet. Loaded on every page. Defines design tokens (--accent: #ff5500, --text, fonts) referenced from everywhere."
assets/,assets/css/dev-draw.css,"Editor-only stylesheet. Loaded by site/templates/draw.php; never reaches public pages."
assets/,assets/js/app.js,"Runtime renderer. Reads the inlined <script id=""lines-data""> payload that lines-layer.php writes, picks a viewport class, paints SVG paths, drives GSAP/ScrollTrigger animations. Loaded on every public page."
assets/,assets/js/dev-draw.js,"The editor itself — drawing tools, selection, group/master/palette UIs, snapshots, orphans dialog, save endpoint client. Loaded only on /dev/draw."
assets/,assets/js/dev-page.js,"Phase 2 rect-block editor (vanilla JS, no build). Loaded only on /dev/page. Renders absolute-positioned rect stubs, pointer move/resize (+shift aspect-lock), numeric x/y/w/h fields, chapter management, per-rect note, save to dev/page/save."
assets/,assets/css/dev-page.css,"Phase 2 /dev/page editor styling — dark dev-tool chrome mirroring /dev/draw. Kind-coloured rect stubs, selection panel, geom fields."
assets/,assets/css/canvas-page.css,"Phase 2 runtime stub styling for canvas-page.php. Kind colours duplicated from dev-page.css (single source of truth deferred to Slice 7)."
assets/,assets/css/image-workshop.css,"Phase 2 /dev/image-workshop styling — shares the dark dev-tool chrome. Used by both the batch index and the comparison grid (cards, type-or-pick size combo, busy overlay, draft badge, verdict filter bar + per-card toggle + card tints)."
assets/,assets/js/gsap.min.js,"GreenSock Animation Platform (vendored). Drives all timed/scroll animation."
assets/,assets/js/ScrollTrigger.min.js,"GSAP plugin: lets tweens react to scroll position."
assets/,assets/js/Draggable.min.js,"GSAP plugin: drag-and-drop primitives (currently unused but kept for future)."
assets/,assets/js/InertiaPlugin.min.js,"GSAP plugin: physics-y dragging (also unused today)."
assets/,assets/images/,"Static images that ride along with the design. Currently empty; SVG-import + image-drop flows would deposit files here."
site/,site/config/config.php,"Kirby boot config + the editor's HTTP routes (POST /dev/draw/save, dev/draw/library/{list,save,load}, dev/page/save, dev/image-workshop/save). Phase 2 added 'thumbs'=>quality 82 and the first 'hooks' block (page.create:after auto-creates a canvas-page's images child; file.update:after applies the one-time maxLongEdge cap). dev/image-workshop/save persists per-batch verdicts.json (ok/rework/dropped). Exposes option('version') and option('schemaVersion')."
site/,site/config/config.<SERVER_NAME>.php,"Host-scoped Kirby config override (e.g. config.newsitedbart.bbh.fr.php). rsync-EXCLUDED — pushed manually via SCP. Holds the ready-callback auth gate (403 for the whole /dev tree when no Panel user) + X-Powered-By strip. One file per server (each host has its own SERVER_NAME)."
site/,site/blueprints/site.yml,"Kirby site-level schema (titles, etc.) used by the Kirby Panel."
site/,site/blueprints/pages/default.yml,"Default page schema for the Kirby Panel — what fields a page in this project can have."
site/,site/blueprints/pages/canvas-page.yml,"Phase 2 blueprint for a rect-authored page. No pageWidth field (canvas dims come from Deco's page.json). Sidebar lists the images child (image-container)."
site/,site/blueprints/pages/image-container.yml,"Phase 2 leaf blueprint hosting a canvas-page's image files in content/<page>/images/. Locked down (no delete/rename/template change). Files use the image template."
site/,site/blueprints/pages/image-workshop.yml,"Phase 2 image-workshop container blueprint. Lists batch children; Panel can create them. Reached at /dev/image-workshop."
site/,site/blueprints/pages/image-workshop-batch.yml,"Phase 2 image-workshop batch blueprint — one triage workspace. Files use the shared image template. Grid view at /dev/image-workshop/<slug>."
site/,site/blueprints/files/image.yml,"Phase 2 image file blueprint (mime image/* only). Fields: alt, caption, previewLongEdge (non-destructive trial), previewInfo (link block), maxLongEdge (one-time destructive cap, applied by the file.update:after hook). NO create: transform — originals preserved."
site/,site/plugins/art/index.php,"This project's PHP plugin. Helpers like art_load_palette, art_load_class_data, art_resolve_instance, art_viewbox_attr. Bridges the on-disk content into the runtime payload format."
site/,site/snippets/header.php,"<head> snippet: title, viewport meta, style.css include (cache-busted)."
site/,site/snippets/footer.php,"Closing tags + app.js include."
site/,site/snippets/lines-layer.php,"Builds the runtime data payload (classes + palette + per-class instances/groups + page config + version) and emits the <svg id=""lines-layer""> + <script id=""lines-data""> blocks that app.js reads."
site/,site/snippets/c-button.php,"Page-content snippet for one of the three button shapes used in design pages."
site/,site/snippets/e-button.php,"Page-content snippet for one of the three button shapes used in design pages."
site/,site/snippets/rr-button.php,"Page-content snippet for one of the three button shapes used in design pages."
site/,site/snippets/index.html,"Empty stub. Kirby convention: an index.html inside any sensitive directory prevents the webserver from listing it."
site/,site/templates/default.php,"Fallback page template — wraps header + content + footer."
site/,site/templates/home.php,"Home page template — adds the lines-layer SVG so the runtime can render on /."
site/,site/templates/draw.php,"The editor's template. Renders the editor toolbar + sidebar + canvas, inlines a much richer payload than the runtime (pages, classes, masters, palette, trigger suggestions, image sources, version), loads dev-draw.js. Reached at /dev/draw."
site/,site/templates/page.php,"Phase 2 rect-block EDITOR template. Reads ?page=<slug>, loads that page's rects.json + Deco config for canvas dims, emits #editor-data JSON, loads dev-page.js. Reached at /dev/page."
site/,site/templates/canvas-page.php,"Phase 2 RUNTIME template. Reads rects.json + Deco config, renders absolutely-positioned rect stubs at pageW × max(max(y+h),pageH)+80. Visual parity with the editor minus chrome."
site/,site/templates/image-workshop.php,"Phase 2 image-workshop container index. Lists batch children (childrenAndDrafts) with links into each batch's grid. Reached at /dev/image-workshop."
site/,site/templates/image-workshop-batch.php,"Phase 2 image-workshop batch grid. Per image: original vs resize($size,$size) derivative with dims+niceSize+open links. Type-or-pick size combo (number field + disclosure caret preset menu; pick fills, Apply commits), busy overlay on regen. Step B: per-card OK/Rework/Dropped verdict toggle (persists to verdicts.json via dev/image-workshop/save), client-side filter bar, copy-rework-filenames. Reached at /dev/image-workshop/<slug>."
site/,site/accounts/,"Where Kirby would store Panel user credentials when the Panel is in use. Contains only index.html (the directory-listing stub) — no user accounts in this project. Git ignores everything else here."
site/,site/cache/,"Kirby's HTTP/page cache (when enabled). Same index.html stub. Git ignores the rest."
site/,site/sessions/,"Where Kirby keeps session files for logged-in users. Same index.html stub. Git ignores the rest."
content/,content/site.txt,"Kirby site-level content (title, etc.) in Kirby's text format."
content/,content/_shared/classes.json,"The class definitions: id + display name for narrow/medium/wide. Site-wide, not per-page."
content/,content/_shared/masters.json,"The master library. Canonical visual definitions: each entry is one logical object (id, name, kind, params/points/segments/d, stroke, width, scope). Instances across every class on every page reference these."
content/,content/_shared/palette.json,"The site-wide color palette (v4+ canonical location). Editor reads + writes here today."
content/,content/colors.json,"v3 legacy palette file. Read only as a fallback if _shared/palette.json is missing. Safe to delete."
content/,content/colors.example.json,"v1–v2 era seed palette — last-resort bootstrap for a fresh clone. Safe to delete in production."
content/,content/dev/draw/draw.txt,"Kirby page metadata that makes /dev/draw exist as a route — that's how the draw.php template gets reached."
content/,content/dev/page/page.txt,"Kirby page record that makes /dev/page resolve to the page.php editor template. TargetPage field names the default page to edit."
content/,content/dev/image-workshop/image-workshop.txt,"Kirby page record that makes /dev/image-workshop resolve. Batches are child pages created in the Panel under it."
content/,content/<page>/rects.json,"Phase 2 per-page rect-block layout: { schemaVersion, chapters[], rects[] }. Authored by /dev/page, rendered by canvas-page.php. Canvas dims NOT stored here (read from Deco's page.json)."
content/,content/<page>/images/,"Phase 2 per-canvas-page image library (an image-container child page). Source images preserved; runtime derives thumbs lazily."
content/,content/home/home.txt,"Kirby page metadata for / (home page title, etc.)."
content/,content/home/page.json,"The editor's per-page config: useClasses (which classes this page uses), dims per class (pageW/H + canvasW/H)."
content/,content/home/<class>/instances.json,"v4+ per-class instance records. Each entry: { id, masterId, groupId, positionOffset, behaviors[], overrides }. The ""skin"" referencing a master. One file per class (wide, medium, narrow)."
content/,content/home/<class>/groups.json,"v4+ per-class group records. Each group: id, name, hidden, defaults (fallback translateX/Y, rotate, drawIn for lines in this group)."
content/,content/home/<class>/lines.json,"v3 legacy per-class line file. Replaced by instances.json since v4; read only if instances.json is missing. Safe to delete."
content/,content/home/lines.json,"v3 legacy page-level line file (pre per-class split). Read only as fallback. Safe to delete."
content/,content/home/groups.json,"v3 legacy page-level group file (pre per-class split). Read only as fallback. Safe to delete."
content/,content/home/lines.example.json,"v1–v2 era seed file. Last-resort fallback for a fresh clone. Safe to delete in production."
content/,content/home/groups.example.json,"v1–v2 era seed file. Last-resort fallback for a fresh clone. Safe to delete in production."
content/,content/error/...,"The 404 page. Same per-class structure as home/."
scripts/,scripts/migrate-content.php,"Schema migration CLI. Walks the content tree and ports older v1/v2/v3 shapes onto the current v4+ schema (lines.json → instances.json + masters.json, palette relocation, etc.). Runs from a terminal, not from a Kirby route."
library/,library/.gitkeep,"Empty placeholder so git tracks the directory; the snapshots themselves stay local."
library/,library/<name>/meta.json,"Snapshot metadata: { name, savedAt, appVersion, schemaVersion }."
library/,library/<name>/content/...,"Recursive copy of the project's content/ tree taken at snapshot time."
media/,media/index.html,"Directory-listing stub (Kirby's index.html convention)."
media/,media/pages/...,"(Auto-created at runtime) Resized/thumbnailed image variants Kirby generates from content/ images. Pure cache; deletable."
kirby/,kirby/README.md,"Kirby project's own README."
kirby/,kirby/LICENSE.md,"Kirby's license."
kirby/,kirby/SECURITY.md,"Kirby's security policy."
kirby/,kirby/CONTRIBUTING.md,"Kirby's contributing guide (for the upstream project)."
kirby/,kirby/.editorconfig,"Kirby's editor config (upstream's tab/space conventions)."
kirby/,kirby/bootstrap.php,"The bootstrap entry that index.php includes to start Kirby."
kirby/,kirby/router.php,"Kirby's HTTP router shim used by some webserver setups."
kirby/,kirby/cacert.pem,"TLS root certificates bundle — for outbound HTTPS requests from PHP (license validation, plugin updates if used)."
kirby/,kirby/kirby.pub,"Kirby's public signing key — used to verify license signatures."
kirby/,kirby/composer.json,"Kirby's own Composer manifest."
kirby/,kirby/composer.lock,"Kirby's Composer lockfile (transitive deps pinned)."
kirby/,kirby/assets/whoops.css,"Style for the ""Whoops"" PHP error page (the friendly stack-trace UI shown in dev when a PHP exception escapes)."
kirby/,kirby/config/,"Kirby's default configuration — aliases.php, routes.php, helpers.php, tags.php, and subdirs api/, areas/, blocks/, fields/, presets/, sections/, templates/ that define the built-in Panel features. Read-only as far as this project is concerned."
kirby/,kirby/dependencies/parsedown,"Bundled PHP lib: Markdown parser."
kirby/,kirby/dependencies/parsedown-extra,"Bundled PHP lib: Markdown extras (footnotes, tables, etc.)."
kirby/,kirby/dependencies/spyc,"Bundled PHP lib: YAML parser."
kirby/,kirby/i18n/translations,"Kirby Panel UI translations (per-language JSON files)."
kirby/,kirby/i18n/rules,"Pluralization rules per language for the Panel UI."
kirby/,kirby/panel/dist/,"Built assets (JS, CSS) for the Kirby Panel — the CMS admin UI mounted at /panel. Source not present (only the dist build)."
kirby/,kirby/panel/eslint.config.js,"Vestigial build-tool config from the upstream Kirby release — only relevant if you were rebuilding the Panel yourself. Inert here."
kirby/,kirby/panel/vite.config.js,"Same as above — upstream Vite config for the Panel build."
kirby/,kirby/src/Api,"Kirby's REST API implementation."
kirby/,kirby/src/Cache,"Kirby's cache abstractions (file, APCu, Memcached, etc.)."
kirby/,kirby/src/Cms,"The core CMS classes — pages, sites, files, users, languages, kirby itself."
kirby/,kirby/src/Content,"Content reading/writing (the .txt and JSON content layer)."
kirby/,kirby/src/Data,"Data format encoders/decoders (JSON, YAML, XML)."
kirby/,kirby/src/Database,"Database abstraction (used for some Panel features)."
kirby/,kirby/src/Email,"Email sending (uses PHPMailer underneath)."
kirby/,kirby/src/Exception,"Kirby's exception classes."
kirby/,kirby/src/Field,"Form field implementations (used by the Panel and content forms)."
kirby/,kirby/src/Filesystem,"File and directory abstractions."
kirby/,kirby/src/Form,"Higher-level form handling (Panel form builder)."
kirby/,kirby/src/Http,"HTTP request/response, URL handling, remote requests."
kirby/,kirby/src/Image,"Image reading + manipulation (resize/thumbnail)."
kirby/,kirby/src/Option,"Site-wide option/config handling."
kirby/,kirby/src/Panel,"The CMS Panel backend — Panel routes, areas, view definitions."
kirby/,kirby/src/Parsley,"HTML parser used for content sanitization."
kirby/,kirby/src/Plugin,"Plugin loading + registration system."
kirby/,kirby/src/Query,"Query-string parser/runner for Kirby's template helpers."
kirby/,kirby/src/Reflection,"Reflection helpers."
kirby/,kirby/src/Sane,"Sanitization for HTML/SVG content."
kirby/,kirby/src/Session,"Session handling for logged-in Panel users."
kirby/,kirby/src/Template,"Template rendering engine."
kirby/,kirby/src/Text,"Text utilities (KirbyTags, formatting)."
kirby/,kirby/src/Toolkit,"General-purpose helpers — Str, A (array), F (file), Url, etc."
kirby/,kirby/src/Uuid,"Persistent UUIDs for pages/files/users."
kirby/,kirby/vendor/autoload.php,"Composer autoloader entry."
kirby/,kirby/vendor/bin,"CLI binaries provided by Composer deps."
kirby/,kirby/vendor/christian-riesen,"OTP library (two-factor auth for the Panel)."
kirby/,kirby/vendor/claviska,"SimpleImage — image processing dep."
kirby/,kirby/vendor/composer,"Composer's own runtime files."
kirby/,kirby/vendor/filp,"Whoops — the friendly PHP error page library."
kirby/,kirby/vendor/laminas,"Laminas components (HTTP utilities)."
kirby/,kirby/vendor/league,"League packages (assorted utilities)."
kirby/,kirby/vendor/michelf,"PHP-Markdown alternative."
kirby/,kirby/vendor/phpmailer,"PHPMailer — email sending."
kirby/,kirby/vendor/psr,"PSR interfaces (PHP-FIG standards)."
kirby/,kirby/vendor/symfony,"Symfony components — HTTP, YAML, process utilities."
kirby/,kirby/views/browser.php,"Internal Kirby view for the ""browser too old"" page."
